字頭,撫州話,推導撫州話,文白新,訓作,釋義,中古拼音,音韻地位,聲母,清濁,音,組,攝,韻系,等,呼,聲調,反切,廣韻釋義,推導普通話,推導廣州話
雄,ɕjuŋ2,juŋ2,,,,iung,云通東三平,云,次濁,喉,影,通,東,三,,平,羽弓切,雄雌也亦姓舜友有雄陶羽弓切二,yong2,jung4
熊,ɕjuŋ2,juŋ2,,,,iung,云通東三平,云,次濁,喉,影,通,東,三,,平,羽弓切,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比,yong2,jung4
瞢,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,目不明莫中切六,meng2,mung4
夢,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,說文曰不明也又武仲切,meng2,mung4
鄸,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,邑名在曹郡,meng2,mung4
懜,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,慙也國語云君使臣懜,meng2,mung4
𦫰,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,𦫰𦫰醜皃,meng2,mung4
𧲎,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫中切,獸似豕目在耳出崐崘,meng2,mung4
穹,tɕʰjuŋ2,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,高也去宮切七,qiong1,hung1
𢞏,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,憂也,qiong1,hung1
焪,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,乾也,qiong1,hung1
芎,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,qiong1,hung1
𦵡,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,qiong1,hung1
匑,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,謹敬之皃,qiong1,hung1
𥳎,,tɕʰjuŋ1,,,,khiung,溪通東三平,溪,次清,牙,見,通,東,三,,平,去宮切,𥳎籠也又去龍切,qiong1,hung1
窮,tɕʰjuŋ2,tɕʰjuŋ2,,,,giung,羣通東三平,羣,全濁,牙,見,通,東,三,,平,渠弓切,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,qiong2,kung4
藭,,tɕʰjuŋ2,,,,giung,羣通東三平,羣,全濁,牙,見,通,東,三,,平,渠弓切,芎藭,qiong2,kung4
𥨪,,tɕʰjuŋ2,,,,giung,羣通東三平,羣,全濁,牙,見,通,東,三,,平,渠弓切,羿所封國,qiong2,kung4
馮,fuŋ2,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,feng2,fung4
堸,,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,蟲室,feng2,fung4
汎,,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,浮也又孚劒切,feng2,fung4
芃,,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,草盛也又音蓬,feng2,fung4
𨝭,,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,姬姓之國,feng2,fung4
渢,,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,弘大聲也,feng2,fung4
梵,fan2,fuŋ2,,,,biung,並通東三平,並,全濁,脣,幫,通,東,三,,平,房戎切,木得風皃又防泛切,feng2,fung4
風,fuŋ1,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,feng1,fung1
飌,,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,古文,feng1,fung1
楓,fuŋ1,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,feng1,fung1
猦,,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,猦母狀如猿逢人則叩頭小打便死得風還活出異物志,feng1,fung1
偑,,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,地名,feng1,fung1
檒,,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,檒梵聲也,feng1,fung1
𧆉,,fuŋ1,,,,piung,幫通東三平,幫,全清,脣,幫,通,東,三,,平,方戎切,竹名出南海,feng1,fung1
豐,fuŋ1,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,feng1,fung1
酆,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,邑名亦姓左傳有狄相酆舒,feng1,fung1
蘴,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,蕪菁苗也,feng1,fung1
灃,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,水名在咸陽,feng1,fung1
寷,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,大屋,feng1,fung1
麷,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,煑麥,feng1,fung1
㒥,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,偓㒥仙人,feng1,fung1
㠦,,fuŋ1,,,,phiung,滂通東三平,滂,次清,脣,幫,通,東,三,,平,敷空切,山名,feng1,fung1
充,tʰuŋ1,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,美也塞也行也滿也昌終切七,chong1,cung1
珫,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,珫耳玉名詩傳云充耳謂之瑱字俗從玉,chong1,cung1
茺,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,茺蔚草也,chong1,cung1
㤝,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,心動,chong1,cung1
䘪,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,䘪襌衣也,chong1,cung1
𪎽,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,黃色又音統,chong1,cung1
㳘,,tʰuŋ1,,,,chjiung,昌通東三平,昌,次清,齒,章,通,東,三,,平,昌終切,水聲,chong1,cung1
隆,tjuŋ2,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,盛也豐也大也力中切六,long2,lung4
癃,,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,病也亦作𤸇,long2,lung4
𪔳,,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,鼓聲俗作𪔴,long2,lung4
窿,tjuŋ2,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,穹隆天勢俗加穴,long2,lung4
霳,,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,豐隆雷師俗加雨,long2,lung4
㚅,,tjuŋ2,,,,liung,來通東三平,來,次濁,舌,來,通,東,三,,平,力中切,多㚅礼天,long2,lung4
空,kʰuŋ1,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,kong1,hung1
箜,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,kong1,hung1
崆,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,崆峒,kong1,hung1
椌,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,器物朴也又丘江切,kong1,hung1
硿,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,硿青色石也,kong1,hung1
䅝,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,稻稈,kong1,hung1
悾,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,悾悾信也愨也,kong1,hung1
埪,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,土埪龕也,kong1,hung1
倥,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,倥侗,kong1,hung1
涳,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,涳濛小雨又口江切,kong1,hung1
鵼,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,怪鳥出字統,kong1,hung1
𦱇,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,𦱇心草也,kong1,hung1
𢃐,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,衣袂,kong1,hung1
𧌆,,kʰuŋ1,,,,khung,溪通東一平,溪,次清,牙,見,通,東,一,,平,苦紅切,蟬脫𧌆皮,kong1,hung1
公,kuŋ1,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,gong1,gung1
功,kuŋ1,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛,gong1,gung1
工,kuŋ1,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,官也又工巧也,gong1,gung1
疘,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,文字集略云脫疘下部病也,gong1,gung1
蚣,kuŋ1,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,蜈蚣蟲,gong1,gung1
玒,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,王名又音江,gong1,gung1
釭,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,車釭說文曰車轂中鐵也又古雙切,gong1,gung1
魟,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,䱑魟江蟲形似蟹可食又音烘,gong1,gung1
攻,kuŋ1,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,攻擊,gong1,gung1
㓚,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,銍穫也,gong1,gung1
愩,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,憒也,gong1,gung1
碽,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,擊聲,gong1,gung1
篢,,kuŋ1,,,,kung,見通東一平,見,全清,牙,見,通,東,一,,平,古紅切,篢笠方言,gong1,gung1
蒙,muŋ2,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七,meng2,mung4
懞,muŋ2,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七,meng2,mung4
冡,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,說文覆也,meng2,mung4
濛,muŋ2,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,涳濛細雨,meng2,mung4
𩦺,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,驢子曰𩦺,meng2,mung4
艨,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,艨艟戰船又武用切,meng2,mung4
䑃,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,大皃,meng2,mung4
矇,muŋ2,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,矇瞽,meng2,mung4
饛,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,盛食滿皃,meng2,mung4
䰒,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,馬垂鬣也,meng2,mung4
檬,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,似槐華黃,meng2,mung4
𨢊,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,麴生衣皃,meng2,mung4
䴿,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,麴生衣皃,meng2,mung4
𨣘,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,亦上同,meng2,mung4
鸏,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,鸏䴀鳥也,meng2,mung4
幪,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,覆也蓋衣也又幪縠,meng2,mung4
罞,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,爾雅曰麋罟謂之罞,meng2,mung4
𢄐,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,說文云蓋衣也又莫弄切,meng2,mung4
髳,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,爾雅釋詁曰覭髳茀離也,meng2,mung4
蠓,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,蠛蠓似蚊又莫孔切,meng2,mung4
𦿏,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,草可爲帚,meng2,mung4
雺,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,天氣下地不應曰雺又莫侯切,meng2,mung4
霿,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,,meng2,mung4
霚,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,並上同,meng2,mung4
朦,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,朦朧月下,meng2,mung4
䀄,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,器滿,meng2,mung4
懜,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,心悶闇也,meng2,mung4
靀,,muŋ2,,,,miung,明通東三平,明,次濁,脣,幫,通,東,三,,平,莫紅切,小雨,meng2,mung4
籠,luŋ2,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七,long2,lung4
豅,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,大谷,long2,lung4
㰍,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,說文云房室之疏也亦作櫳,long2,lung4
朧,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,朦朧,long2,lung4
𡃡,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,大聲,long2,lung4
龓,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,馬龓頭,long2,lung4
䪊,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,馬龓頭,long2,lung4
瀧,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,瀧涷沾漬說文曰雨瀧瀧也,long2,lung4
聾,luŋ2,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也,long2,lung4
𨏠,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,軸頭,long2,lung4
礱,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,磨也,long2,lung4
䆍,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,禾病,long2,lung4
𪚗,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,禾病,long2,lung4
嚨,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,喉嚨,long2,lung4
蘢,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,蘢古草名又音龍,long2,lung4
櫳,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,檻也養獸所也,long2,lung4
𤮨,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,字書云築土𤮨穀,long2,lung4
巃,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,巃嵸山皃嵸祖紅切又音竉摠,long2,lung4
襱,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,襱裙,long2,lung4
𧙥,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,襱裙,long2,lung4
瓏,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,玲瓏玉聲,long2,lung4
曨,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,日欲出也,long2,lung4
鸗,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,鳥名,long2,lung4
𩟭,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,𩟭餅,long2,lung4
蠪,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉,long2,lung4
㟅,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,崆㟅山皃,long2,lung4
屸,,luŋ2,,,,lung,來通東一平,來,次濁,舌,來,通,東,一,,平,盧紅切,山形,long2,lung4
洪,fuŋ2,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,大也亦姓共工氏之後本姓共氏後改爲洪氏戶公切二十二,hong2,hung4
鉷,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,弩牙,hong2,hung4
訌,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,潰也詩曰蟊賊內訌,hong2,hung4
紅,fuŋ2,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,色也又姓,hong2,hung4
虹,fuŋ2,fuŋ2,文,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,螮蝀也又古巷切,hong2,hung4
仜,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,身肥大也,hong2,hung4
鴻,fuŋ2,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,詩傳云大曰鴻小曰鴈又姓左傳衛大夫鴻聊魋,hong2,hung4
葒,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹,hong2,hung4
葓,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹,hong2,hung4
谼,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,大壑又谼谷寺在相州,hong2,hung4
䉺,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,陳赤米也,hong2,hung4
烘,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,字林云燎也又呼紅切,hong2,hung4
洚,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,說文曰水不遵道一曰下也又戶冬下江二切,hong2,hung4
渱,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,潰渱水沸湧也,hong2,hung4
𨹁,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,從𨹁山名在雲南,hong2,hung4
魟,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,魟白魚又音烘,hong2,hung4
䧆,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,坑也,hong2,hung4
䪦,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,大聲,hong2,hung4
𦏺,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,飛聲,hong2,hung4
䫹,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,大風,hong2,hung4
𨾊,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,鳥肥大𨾊唯然,hong2,hung4
䂫,,fuŋ2,,,,ghung,匣通東一平,匣,全濁,喉,影,通,東,一,,平,戶公切,石聲,hong2,hung4
叢,tsʰuŋ2,tsʰuŋ2,,,,zung,從通東一平,從,全濁,齒,精,通,東,一,,平,徂紅切,聚也徂紅切五,cong2,cung4
藂,,tsʰuŋ2,,,,zung,從通東一平,從,全濁,齒,精,通,東,一,,平,徂紅切,俗,cong2,cung4
䕺,,tsʰuŋ2,,,,zung,從通東一平,從,全濁,齒,精,通,東,一,,平,徂紅切,草䕺生皃,cong2,cung4
潀,,tsʰuŋ2,,,,zung,從通東一平,從,全濁,齒,精,通,東,一,,平,徂紅切,水會也,cong2,cung4
𥵫,,tsʰuŋ2,,,,zung,從通東一平,從,全濁,齒,精,通,東,一,,平,徂紅切,籠𥵫取魚器俗,cong2,cung4
翁,uŋ1,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八,weng1,ung1
螉,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,蠮螉蟲名細𦝫𧒒也,weng1,ung1
䱵,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,魚名,weng1,ung1
蓊,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,蓊鬱草木盛皃又烏桶切,weng1,ung1
䈵,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,竹盛皃,weng1,ung1
䩺,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,吳人靴靿曰䩺,weng1,ung1
㮬,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,水㮬子果名出南州,weng1,ung1
𩔚,,uŋ1,,,,qung,影通東一平,影,全清,喉,影,通,東,一,,平,烏紅切,頸毛也,weng1,ung1
悤,,tsʰuŋ1,,,,chung,清通東一平,清,次清,齒,精,通,東,一,,平,倉紅切,速也倉紅切十五,cong1,cung1
忩,,tsʰuŋ1,,,,chung,清通東一平,清,次清,齒,精,通,東,一,,平,倉紅切,俗,cong1,cung1
蔥,tsʰuŋ1,tsʰuŋ1,,,,chung,清通東一平,清,次清,齒,精,通,東,一,,平,倉紅切,葷菜,cong1,cung1
樬,,tsʰuŋ1,,,,chung,清通東一平,清,次清,齒,精,通,東,一,,平,倉紅切,尖頭擔也,cong1,cung1
䡯,,tsʰuŋ1,,,,chung,清通東一平,清,次清,齒,精,通,東,一,,平,倉紅切,轞車載囚,cong1,cung1
